,_sa_instance_state,text,datetime,tweet_id,username,id
2564,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5700>,"@JulBayur3 @jokowi Nanggung 3 periode mah,bagusan kaya pak Soeharto aja",27/11/2022,1596926031616946176,Irfan_sanjaya87,2565
2565,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5760>,"@Manzuu181 @BhaktiRah @keuangannews_id Sampean gagal faham, yg teriak jokowi mundur sama mengingkari UUD, Yg membedakan adalah mereka trdk meneriakan Pancasila harga mati, maksudku teriak Pancasila harga mati tapi dlm waktu bersamaan teriak juga jokowi 3 periode, ngono toh masku... Pinter dikit napa...?",27/11/2022,1596922019249270785,dedifrozenfood,2566
2566,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab57c0>,"@tifsembiring Kalian sendiri sering berteriak-teriak, ""turunkan Jokowi!"", terus kenapa sewot dengan dengan teriakan Jokowi 3 periode?   Yang gak punya malu siapa? Makanya ngacaaaaa!",27/11/2022,1596921813292191744,Priyodjatmiko9,2567
2567,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5820>,Masih yakin mau 3 periode? Atau Masih yakin mau pilih yg d dukung pak presiden jokowi?,27/11/2022,1596920131996696581,maulidin_ahmat,2568
2568,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5880>,Kumpul Relawan Jokowi Secara Terang Benderang Gaungkan 3 Periode: Pesannya Clear! https://t.co/92FdaTsFvd,27/11/2022,1596913664866783233,RepelitaO,2569
2569,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab58e0>,"@OposisiCerdas dan , gw pun akan ungkap ketakutan gw jika @jokowi  3 periode beneran terjadi.  = dahsyat bro !",27/11/2022,1596913553302122497,j_sulut,2570
2570,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5940>,@tifsembiring Isi kepalanya bokep 😂😂😂.  Semua jg tau cumi 3 periode melanggar konstitusi. Emangnya pak jokowi 3 periode ??? Kan enggak. Ngetweet pake fakta lae.,27/11/2022,1596912331283652610,nadal83,2571
2571,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab59a0>,"@KompasTV Media berintegritas itu harusnya berdebat terkait substansi yang dibicarakan Jokowi, bukan berita sampah berton ton dan 3 periode",27/11/2022,1596911389196500993,DedieRuji,2572
2572,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5a00>,"@JulBayur3 @jokowi Opsi 1 dan 2 blh tp jgn 3, kasihan Pak Jokowi. Biarlah beliau purna tugas dgn paripurna dan meninggalkan legacy yg trbaik buat sistem demokrasi di Indonesia. UUD 45 Pasal 7 sdh jelas 2 periode.",27/11/2022,1596907930582151168,Luckyoshi1710,2573
2573,<sqlalchemy.orm.state.InstanceState object at 0x7fed23ab5a60>,@Miduk17 Pengen tau beneran. Sebenarnya acara ini tujuannya apa?Kan ngga mungkin 3 periode. Kan itu sudah ditolak? Bapak Jokowi kan bukan ketua partai. Pemilihan capres kan di tangan ketua partai?,27/11/2022,1596904257563037696,minkx,2574
