,_sa_instance_state,datetime,text,tweet_id,id,username
1843,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0700>,09/12/2022,"Getol Minta Jokowi Lanjut 3 Periode, Bamsoet Harusnya Teladani Airlangga Hartarto https://t.co/FxBZ31csFb",1601220126136598528,1844,WartaEkonomi
1844,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0760>,09/12/2022,"@OposisiCerdas Makin ngaco aja orang orangan ini, seharusnya kalo faham UUD, faham Pancasila ga ada lagi yg menarasikan:  tanya kepuasan rakyat, penunndaan pemilu, jokowi 3 periode.  Sudah selesai, sudah final UUD sdh membatasi jatah 2 periode titik ga ada lagi yg hrs dibahas.",1601216141103226881,1845,dedifrozenfood
1845,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab07c0>,09/12/2022,"Jika terjadi perpanjangan masa jabatan Pa @jokowi dan atau Presiden bisa 3 periode melalui amandemen UUD, Perpu atau entah apa, apakah kita mau diam saja menerimanya?",1601215249192869888,1846,BennyKeef
1846,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0820>,09/12/2022,@susipudjiastuti Saya suka kinerja pak jokowi dan kesederhanaan serta aksi nyata infrasteuktur terutama di papua. Tapi utk 3 periode sy kasihan dg pak jokowi dan keluarganya dihujat netizen yg maha benar.smoga Allah beri yg terbaik sj,1601214028327813120,1847,Sutarjosebas2
1847,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0880>,09/12/2022,@MardaniAliSera Kau mendukung kalau ada demo turunkan Jokowi tapi begitu ada yg tereak Jokowi 3 periode atau yg Bamsoet suarakan langsung kejang2x. Katanya Demokrasi....tapi kok cemen dan cengeng gini Dasar Kadrun keranjang sampah...!!!,1601212936399167490,1848,tukangaduayam
1848,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab08e0>,09/12/2022,@HartonoRian2 @DedenPadjajaran @tvOneNews Lho yg bilang anda dukung jokowi 3 periode siapa?,1601207556801974274,1849,lxmw058
1849,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0940>,09/12/2022,"@lxmw058 @DedenPadjajaran @tvOneNews Lho yg mau Jokowi 3 periode siapa? Meski saya penggemar Jokowi saya gk setuju 3 periode, Jokowi sdh jelas menolak juga",1601205627564748801,1850,HartonoRian2
1850,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab09a0>,09/12/2022,"Ketua MPR Bamsoet Bertanya Apakah Rakyat Masih Ingin Dipimpin Jokowi, Dukung 3 Periode? https://t.co/rdSqi5nszo",1601202522906972162,1851,PutunMy
1851,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0a00>,09/12/2022,"KERAS! Sebut Jokowi Tidak Paham Demokrasi Gegara Setuju Wacana 3 Periode, Rocky Gerung: Dia Kekurangan Pengetahuan! https://t.co/pFiMYPNfEB",1601202278165118976,1852,PutunMy
1852,<sqlalchemy.orm.state.InstanceState object at 0x7f88a3ab0a60>,09/12/2022,Pandangan ini perpanjangan tangan oligarki yang masih menginginkan seorang presiden sperti Jokowi. Jokowi dapat diatur(stir) atas kehendak mereka. Bukan mustahil 3 periode terjadi jika kekuatan rakyat dapat disogok dg amplop 20 ribu. https://t.co/l4CiuIGgCy,1601200244301082624,1853,AlMawardin7
